2025-04-09 13:05:36 | CPU: 16.4% | RAM: 51.5% | Festplatte: 63.5%
2025-04-09 13:05:39 | CPU: 8.6% | RAM: 51.4% | Festplatte: 63.5%
2025-04-09 13:05:43 | CPU: 12.5% | RAM: 51.4% | Festplatte: 63.5%
2025-04-09 13:05:46 | CPU: 16.0% | RAM: 51.4% | Festplatte: 63.5%
2025-04-09 13:05:52 | CPU: 13.7% | RAM: 50.3% | Festplatte: 63.5%
2025-04-09 13:05:57 | CPU: 16.5% | RAM: 50.2% | Festplatte: 63.5%
2025-04-09 13:06:00 | CPU: 13.6% | RAM: 50.3% | Festplatte: 63.5%
2025-04-09 13:06:19 | CPU: 11.9% | RAM: 50.6% | Festplatte: 63.5%
2025-04-09 13:07:45 | CPU: 16.0% | RAM: 50.4% | Festplatte: 63.5%
2025-04-09 13:08:55 | CPU: 17.9% | RAM: 50.5% | Festplatte: 63.5%
2025-04-09 13:09:00 | CPU: 14.9% | RAM: 50.4% | Festplatte: 63.5%
2025-04-09 13:09:03 | CPU: 16.1% | RAM: 50.5% | Festplatte: 63.5%
2025-04-09 13:09:07 | CPU: 11.3% | RAM: 50.4% | Festplatte: 63.5%
2025-04-09 13:09:10 | CPU: 38.7% | RAM: 50.7% | Festplatte: 63.5%
2025-04-09 13:09:13 | CPU: 25.4% | RAM: 50.9% | Festplatte: 63.5%
2025-04-09 13:09:18 | CPU: 26.3% | RAM: 50.8% | Festplatte: 63.5%
2025-04-09 13:09:42 | CPU: 13.9% | RAM: 50.9% | Festplatte: 63.5%
2025-04-09 13:12:11 | CPU: 12.3% | RAM: 49.4% | Festplatte: 63.5%
2025-04-09 13:12:15 | CPU: 13.2% | RAM: 49.3% | Festplatte: 63.5%
2025-04-09 13:12:21 | CPU: 11.7% | RAM: 49.3% | Festplatte: 63.5%
2025-04-09 13:12:24 | CPU: 15.0% | RAM: 49.2% | Festplatte: 63.5%
2025-04-09 13:12:28 | CPU: 17.8% | RAM: 49.2% | Festplatte: 63.5%
2025-04-09 13:16:16 | CPU: 15.9% | RAM: 49.1% | Festplatte: 63.5%
2025-04-09 13:16:20 | CPU: 10.9% | RAM: 49.1% | Festplatte: 63.5%
2025-04-09 13:16:23 | CPU: 12.8% | RAM: 49.0% | Festplatte: 63.5%
2025-04-09 13:16:26 | CPU: 9.9% | RAM: 49.1% | Festplatte: 63.5%
2025-04-09 13:16:29 | CPU: 12.9% | RAM: 49.0% | Festplatte: 63.5%
2025-04-09 13:18:31 | CPU: 19.3% | RAM: 49.2% | Festplatte: 63.5%
2025-04-09 13:18:34 | CPU: 19.2% | RAM: 49.2% | Festplatte: 63.5%
2025-04-09 13:18:44 | CPU: 23.1% | RAM: 49.2% | Festplatte: 63.5%
2025-04-09 13:20:44 | CPU: 10.4% | RAM: 45.0% | Festplatte: 63.5%
2025-04-09 13:21:02 | CPU: 2.2% | RAM: 44.8% | Festplatte: 63.5%
2025-04-09 13:21:05 | CPU: 4.2% | RAM: 45.0% | Festplatte: 63.5%
2025-04-09 13:21:08 | CPU: 1.4% | RAM: 44.9% | Festplatte: 63.5%
2025-04-09 13:21:11 | CPU: 4.7% | RAM: 44.9% | Festplatte: 63.5%
2025-04-09 13:21:15 | CPU: 4.2% | RAM: 45.0% | Festplatte: 63.5%
2025-04-09 13:25:37 | CPU: 23.2% | RAM: 45.6% | Festplatte: 63.5%
2025-04-09 13:25:40 | CPU: 9.8% | RAM: 45.6% | Festplatte: 63.5%
2025-04-09 13:25:44 | CPU: 13.9% | RAM: 45.6% | Festplatte: 63.5%
2025-04-09 13:25:47 | CPU: 21.8% | RAM: 45.5% | Festplatte: 63.5%
2025-04-09 13:25:50 | CPU: 19.0% | RAM: 45.5% | Festplatte: 63.5%
2025-04-09 13:25:56 | CPU: 3.9% | RAM: 45.5% | Festplatte: 63.5%
2025-04-09 13:26:01 | CPU: 2.5% | RAM: 45.5% | Festplatte: 63.5%
2025-04-09 13:33:25 | CPU: 8.3% | RAM: 46.8% | Festplatte: 63.8%
2025-04-09 13:33:29 | CPU: 6.5% | RAM: 46.7% | Festplatte: 63.8%
2025-04-09 13:33:34 | CPU: 3.1% | RAM: 46.7% | Festplatte: 63.8%
